time,waypoint_index,distance_error,angle_error
1780201111.0061364,0,7.520790934482431,-2.984847169047788
1780201111.1056166,0,7.56890340285927,2.8668462876200858
1780201111.2064412,0,7.608958238217984,2.5018907669799253
1780201111.30651,0,7.658954893565432,3.1300638111986507
1780201111.4061775,0,7.702337055832602,-2.6228547190522065
1780201111.505718,0,7.730616411483906,-2.174610730288972
1780201111.6063867,0,7.741572738105442,-1.7948674373595304
1780201111.7063465,0,7.778798509872567,-2.412753215916833
1780201111.806686,0,7.827731772639285,-2.935314907836663
1780201111.9052165,0,7.876343431816787,2.906132108633684
1780201112.006759,0,7.92366631077267,-2.813896563515905
1780201112.1068528,0,7.958293484679925,-2.3380738957398695
1780201112.2067683,0,8.006496901548479,-2.873540791037013
1780201112.3067584,0,8.042925648579576,-2.389167000076299
1780201112.4063156,0,8.091666207861229,-2.9173593347437206
1780201112.5050313,0,8.140428016069322,2.9192629215817814
1780201112.6058095,0,8.187600701446684,-2.8047087388134835
1780201112.7057135,0,8.222014201203583,-2.33210610002733
1780201112.8055165,0,8.27017556188219,-2.8703751944165443
1780201112.905539,0,8.30657561464447,-2.388263649943274
1780201113.0048842,0,8.355328480432684,-2.918440533958483
1780201113.1055095,0,8.404059022780766,2.9164397518728444
1780201113.2054996,0,8.451301152582861,-2.8088802264000226
1780201113.305387,0,8.485906553799955,-2.3373304636221666
1780201113.4053364,0,8.503729920721215,-1.9380286360784857
1780201113.5053275,0,8.544879863671312,-2.5391305602544327
1780201113.6054804,0,8.594657787404932,-3.047582042823837
1780201113.705548,0,8.641845971683018,2.805589136924114
1780201113.8052766,0,8.680029809103784,2.441647002764837
1780201113.9055314,0,8.729905604692982,3.071294775802592
1780201114.005662,0,8.774642659200788,-2.679921438582125
1780201114.1053858,0,8.805177710757789,-2.2299921487087495
1780201114.205553,0,8.818765849174222,-1.8487498184524918
1780201114.3054032,0,8.85770908254053,-2.4654220580968085
1780201114.4055307,0,8.907110873059295,-2.9871834756942643
1780201114.5055501,0,8.955055747645558,2.854680451686968
1780201114.605312,0,9.003138008212709,-2.8644974311139095
1780201114.705565,0,9.03952254132734,-2.3876442673096703
1780201114.8051844,0,9.088320200430452,-2.922448608828393
1780201114.9060197,0,9.136959007695037,2.908354624122416
1780201115.006322,0,9.18438372915097,-2.8201088098879215
1780201115.106634,0,9.2194863222264,-2.3510039426792226
1780201115.2064157,0,9.238048707455922,-1.9536627871386338
1780201115.3054736,0,9.27969130907024,-2.5565297995185903
1780201115.405542,0,9.32955015126683,-3.0666344997231563
1780201115.5058827,0,9.376388143622899,2.784984834637591
1780201115.605019,0,9.41385467536445,2.419607322424433
1780201115.7055297,0,9.463636356148415,3.048356253019416
1780201115.8054192,0,9.508887743219836,-2.7033608998973166
1780201115.9058957,0,9.540360994056373,-2.253698693075041
1780201116.0048773,0,9.55510462378501,-1.8726195449046048
1780201116.105238,0,9.594797078870414,-2.4894951277795077
1780201116.205429,0,9.644372846385181,-3.0115714998933427
1780201116.305369,0,9.691951081820644,2.82987614418869
1780201116.4055376,0,9.740361176456547,-2.8893795794009414
1780201116.5053434,0,9.777590171061004,-2.4124100259046557
1780201116.6055067,0,9.82664412443225,-2.9472479336190935
1780201116.705604,0,9.874978223326277,2.8833797668441536
1780201116.8053553,0,9.922783938338295,-2.8449750329373202
1780201116.9050305,0,9.95875854531104,-2.3756121282799114
1780201117.0056472,0,9.978453774915533,-1.9779760925189827
1780201117.1054246,0,10.0207565367143,-2.58066923128931
1780201117.2054808,0,10.070691641935298,-3.0907648283514373
1780201117.3052316,0,10.117091593632605,2.7607239408343114
1780201117.4053874,0,10.153739198267228,2.395124182523196
1780201117.5055103,0,10.203391956864007,3.023958567501108
1780201117.605283,0,10.249145496625601,-2.7274645799069526
1780201117.7055585,0,10.28153841828628,-2.2774197691721696
1780201117.8053133,0,10.297402542344564,-1.8959620994180404
1780201117.9053743,0,10.337790876060197,-2.512577050587622
1780201118.0068462,0,10.38750337564623,-3.0345611037413964
1780201118.1067882,0,10.43471482369168,2.806831313646563
1780201118.2063692,0,10.483399266959335,-2.9122353048970733
1780201118.3053477,0,10.521376196119487,-2.4349467511437655
1780201118.4067907,0,10.570635299237797,-2.96963473738202
1780201118.506801,0,10.61867064865375,2.8609887534444765
1780201118.6067984,0,10.66679079118597,-2.8671477064552953
1780201118.7053468,0,10.703520599717272,-2.3974537724641762
1780201118.8049955,0,10.724207114651472,-1.9994673494404598
1780201118.9070442,0,10.76707063063713,-2.6019372991352374
1780201119.007239,0,10.81704859120956,-3.1119688922952795
1780201119.106645,0,10.863042143018717,2.739451488622155
1780201119.206801,0,10.898955292866804,2.3736961820721145
1780201119.3069007,0,10.94847111829515,3.002632162401233
1780201119.407016,0,10.994641037282497,-2.748511875202699
1780201119.5068042,0,11.027820922856359,-2.2981112827662895
1780201119.6070664,0,11.044654134537131,-1.9163006244016336
1780201119.70696,0,11.085630536648383,-2.53267675325524
1780201119.8070076,0,11.135440504472005,-3.054575427814872
1780201119.9069061,0,11.182312372945495,2.7867706911385364
1780201120.0070887,0,11.231214687167105,-2.93213076070042
1780201120.1071079,0,11.269826540469568,-2.454561647184851
1780201120.206993,0,11.319243925310326,-2.9891221151076883
1780201120.3068073,0,11.366999617238067,2.841492368503881
1780201120.4071257,0,11.415374087695731,-2.8864586796735203
1780201120.5068762,0,11.452747084502503,-2.416477794794622
1780201120.606839,0,11.474288938229645,-2.01818360186284
1780201120.7068563,0,11.517624823483342,-2.620463852126214
1780201120.80499,0,11.567621704991947,-3.1304480682567872
1780201120.906876,0,11.613244068482954,2.7209035156266155
1780201121.0069637,0,11.64850335896843,2.3550043600588673
1780201121.1070058,0,11.697881263959578,2.984019069845736
1780201121.2068577,0,11.74439775464242,-2.766888909580366
1780201121.3068135,0,11.778253018931972,-2.316181246632108
1780201121.4068098,0,11.795926719549703,-1.9340618956023983
1780201121.5068905,0,11.837403029650925,-2.5502355779104655
1780201121.6068318,0,11.887281730874037,-3.0720691736621513
1780201121.706974,0,11.933841262961915,2.7692262781945365
1780201121.8065245,0,11.982918168792743,-2.9495396593052505
1780201121.9049993,0,12.022073322227069,-2.471730594210054
1780201122.0066078,0,12.071613770493286,-3.006188529981326
1780201122.1071084,0,12.119109562590141,2.8244081011987037
1780201122.207031,0,12.167691989391558,-2.9033889316124943
1780201122.3068535,0,12.205617681477698,-2.4331616077396165
1780201122.4053357,0,12.227903380457073,-2.0345990412430073
1780201122.507047,0,12.27164125756991,-2.6367195883101853
1780201122.607107,0,12.32164061012636,3.1365140014476447
